Technique,Avg Accuracy,Avg DP Diff,Avg EO Diff,Avg F1,Best DP,Best EO,Num Models,balanced_score
Threshold Optimizer,0.8661560904449307,0.04699262545745137,0.2027692675281231,0.2706731477389896,0.005709079607814763,0.037724522368859884,14,0.8733264608947564
Exponentiated Gradient,0.7290299051787016,0.12338286685640584,0.23183990955007322,0.3544098792091234,0.02876890786712022,0.026269433354386723,14,0.8037168704731488
Reweighting,0.6396790663749089,0.19648569308321476,0.19578870871748633,0.41281216069489696,0.013795878053037836,0.04485244267776123,14,0.7710260525547015
