Model,Attribute,Accuracy,Precision,Recall,F1,ROC-AUC,DP Diff,EO Diff,Precision Diff
LR_Baseline,Gender,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.054434222121938436,0.11447811447811451,0.051371097205386074
LR_Baseline,EmploymentStatus,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.8608695652173913,0.9038461538461539,0.5293040293040293
LR_Baseline,Education,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.2462087757211313,0.2796990595611285,0.26023391812865493
LR_Baseline,Marital Status,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.33532338308457715,0.3087823828982065,0.1273752790010255
LR_Baseline,Location Code,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.2592871165353958,0.3589261744966443,0.13908015536723162
LR_Baseline,State,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.0729492074511165,0.20777027027027029,0.08750000000000002
LR_Baseline,Income,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.4725200506542845,0.4165043816942551,0.17732558139534885
RF_Baseline,Gender,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.028915785754122153,0.009717401507732787,0.02100025301509667
RF_Baseline,EmploymentStatus,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.7988851727982162,0.5935897435897436,0.5745098039215686
RF_Baseline,Education,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.08759885691499969,0.1264705882352941,0.46590909090909094
RF_Baseline,Marital Status,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.1905671641791045,0.09044062883713438,0.17273316662035754
RF_Baseline,Location Code,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.22169777617128228,0.14750277469478357,0.3147321428571429
RF_Baseline,State,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.02607803554290633,0.02246684350132626,0.12867924528301877
RF_Baseline,Income,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.3189250035176586,0.23409607270366764,0.4411764705882353
LR_ThresholdOptimizer,Gender,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.009651367241548137,0.06481481481481481,0.4666666666666667
LR_ThresholdOptimizer,EmploymentStatus,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.023148148148148147,0.05128205128205128,0.3333333333333333
LR_ThresholdOptimizer,Education,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.09834623504574243,0.3,0.5
LR_ThresholdOptimizer,Marital Status,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.03345536468600394,0.037724522368859884,0.1777777777777778
LR_ThresholdOptimizer,Location Code,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.026537997587454766,0.04697986577181208,0.3181818181818182
LR_ThresholdOptimizer,State,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.03343746384357283,0.07142857142857142,0.5
LR_ThresholdOptimizer,Income,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.03902439024390244,0.11538461538461539,0.5
RF_ThresholdOptimizer,Gender,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.005709079607814763,0.057239057239057256,0.05788177339901479
RF_ThresholdOptimizer,EmploymentStatus,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.1246376811594203,0.7575757575757576,0.7142857142857143
RF_ThresholdOptimizer,Education,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.04403866809881847,0.26595744680851063,0.3063725490196078
RF_ThresholdOptimizer,Marital Status,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.03622641509433963,0.24,0.14722222222222225
RF_ThresholdOptimizer,Location Code,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.08779310953543792,0.12324588163514338,0.22273425499231947
RF_ThresholdOptimizer,State,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.02950558213716109,0.09539473684210525,0.17374517374517373
RF_ThresholdOptimizer,Income,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.06638525397495428,0.6117424242424242,0.27574750830564776
ExpGrad_DemographicParity,Gender,0.6951130561633844,0.248868778280543,0.5612244897959183,0.3448275862068966,0.8044029526704299,0.060432800173699064,0.07633693945311368,0.08403361344537816
ExpGrad_DemographicParity,EmploymentStatus,0.6951130561633844,0.248868778280543,0.5612244897959183,0.3448275862068966,0.8044029526704299,0.04810789049919484,0.4242424242424243,0.4653846153846154
ExpGrad_DemographicParity,Education,0.6951130561633844,0.248868778280543,0.5612244897959183,0.3448275862068966,0.8044029526704299,0.2349713426665414,0.25429467084639495,0.15151515151515152
