Approach,Accuracy,Precision,Recall,F1-Score,ROC-AUC,DP Difference,EO Difference,Precision Diff
LR_Baseline,0.711889132020423,0.298989898989899,0.7551020408163265,0.4283646888567294,0.8044029526704299,0.8608695652173913,0.9038461538461539,0.5293040293040293
RF_Baseline,0.9161196207148067,0.6310679611650486,0.9948979591836735,0.7722772277227723,0.9907034303082936,0.7988851727982162,0.5935897435897436,0.5745098039215686
LR_ThresholdOptimizer,0.8504741064916119,0.30434782608695654,0.03571428571428571,0.0639269406392694,0.8044029526704299,0.023148148148148147,0.05128205128205128,0.3333333333333333
RF_ThresholdOptimizer,0.8818380743982495,0.6491228070175439,0.37755102040816324,0.4774193548387097,0.9907034303082936,0.1246376811594203,0.7575757575757576,0.7142857142857143
ExpGrad_DemographicParity,0.6951130561633844,0.248868778280543,0.5612244897959183,0.3448275862068966,0.8044029526704299,0.04810789049919484,0.4242424242424243,0.4653846153846154
ExpGrad_EqualizedOdds,0.7629467541940189,0.29523809523809524,0.4744897959183674,0.3639921722113503,0.8044029526704299,0.24749163879598662,0.14935897435897436,0.5735294117647058
LR_Reweighted,0.6652078774617067,0.2688927943760984,0.7806122448979592,0.4,0.7620755536257057,0.41850613154960986,0.29230769230769227,0.5933884297520662
RF_Reweighted,0.6141502552881108,0.27034482758620687,1.0,0.4256243213897937,0.9907815892314372,0.43946488294314384,0.19935897435897432,0.6197106690777577
